,Age,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,WS/48,3P%,2P%,FT%,height,weight,college,Salary,BMI,SG,PF,C,SF,PG,Age^2,height^2,weight^2,BMI^2
415,5.5,2.2402597402597406,6.402439024390244,0.19011406844106463,1.9834710743801656,1.5019762845849802,1.4834205933682374,1.1711711711711712,0.4395604395604396,3.4633027522935778,0.44041450777202074,2.5,6.0,6.36,8.85057471264368,7.931034482758621,10.0,0.37846438626917567,9.025603435345941,10.0,0.0,0.0,0.0,0.0,30.25,78.33267274408774,62.901307966706305,81.46151737212845
416,5.5,3.2467532467532467,10.0,0.0,3.112947658402204,2.2134387351778653,0.5235602094240838,1.891891891891892,0.0,5.389908256880734,2.3056994818652847,5.709999999999999,10.0,5.0,8.85057471264368,7.931034482758621,10.0,0.37846438626917567,9.025603435345941,10.0,0.0,0.0,0.0,0.0,30.25,78.33267274408774,62.901307966706305,81.46151737212845
417,5.5,2.012987012987013,5.792682926829268,0.22813688212927755,1.7079889807162534,1.3043478260869565,1.7277486910994766,0.9909909909909911,0.5494505494505495,3.073394495412844,-0.02590673575129534,1.43,5.859999999999999,6.67,8.85057471264368,7.931034482758621,10.0,0.37846438626917567,9.025603435345941,10.0,0.0,0.0,0.0,0.0,30.25,78.33267274408774,62.901307966706305,81.46151737212845
418,7.5,3.9935064935064934,6.036585365853658,0.5703422053231939,2.3415977961432506,1.9367588932806326,4.223385689354276,1.4414414414414414,0.32967032967032966,2.9128440366972477,1.3989637305699483,3.39,3.93,7.71,8.620689655172413,6.551724137931034,10.0,0.6714189123925431,7.858885044213762,0.0,0.0,0.0,0.0,10.0,56.25,74.31629013079666,42.925089179548145,61.762074138166746
419,6.5,2.922077922077922,6.536585365853659,0.8745247148288972,2.7272727272727275,2.450592885375494,1.361256544502618,1.4414414414414414,1.208791208791209,2.958715596330275,1.295336787564767,3.5999999999999996,4.6899999999999995,7.890000000000001,8.85057471264368,7.586206896551724,10.0,2.980484133952088,8.633185894678727,10.0,0.0,0.0,0.0,0.0,42.25,78.33267274408774,57.55053507728894,74.53189869207972
420,5.5,3.7337662337662336,6.378048780487805,3.193916349809886,4.380165289256198,4.822134387351778,0.506108202443281,1.3513513513513513,4.945054945054945,3.0045871559633026,2.3056994818652847,1.43,5.15,6.879999999999999,9.310344827586206,7.931034482758621,10.0,0.37846438626917567,8.156196123786936,0.0,10.0,0.0,0.0,0.0,30.25,86.68252080856122,62.901307966706305,66.52353520967704
421,6.75,3.2142857142857144,6.146341463414634,0.6463878326996197,3.057851239669422,2.5691699604743086,2.3036649214659684,1.5315315315315314,1.6483516483516483,3.1422018348623846,1.761658031088083,2.94,4.61,7.5,8.96551724137931,6.724137931034483,10.0,1.8164754321697798,7.457191021204861,10.0,0.0,0.0,0.0,0.0,45.5625,80.38049940546966,45.2140309155767,55.6096979267384
422,7.0,1.9155844155844157,5.926829268292683,0.8745247148288972,3.1680440771349865,2.727272727272727,0.5584642233856895,0.8108108108108109,1.098901098901099,2.4770642201834865,0.8808290155440415,1.8900000000000001,5.869999999999999,7.65,9.195402298850574,7.862068965517242,10.0,1.345489302257187,8.288667820069204,0.0,0.0,0.0,10.0,0.0,49.0,84.55542343770642,61.81212841854936,68.70201423145078
423,5.5,3.896103896103896,5.926829268292683,1.4068441064638784,2.892561983471075,2.8063241106719365,3.839441535776614,2.3423423423423424,1.3186813186813187,3.577981651376146,1.6580310880829017,2.8299999999999996,4.2,8.120000000000001,8.735632183908047,7.586206896551724,10.0,1.3084447366182705,8.861869662318242,10.0,0.0,0.0,0.0,0.0,30.25,76.31126965253007,57.55053507728894,78.53273391191642
424,7.0,4.7727272727272725,5.817073170731707,0.41825095057034223,3.4159779614325068,2.608695652173913,5.671902268760908,1.4414414414414414,1.5384615384615385,2.8440366972477067,1.9689119170984455,2.67,4.67,7.06,8.275862068965518,6.0344827586206895,10.0,1.7299766020664569,7.854217395019009,0.0,0.0,0.0,0.0,10.0,49.0,68.48989298454222,36.41498216409037,61.68873088821918
425,7.75,2.62987012987013,5.902439024390244,0.6083650190114068,2.369146005509642,2.0553359683794468,1.2739965095986039,1.5315315315315314,0.7692307692307693,1.536697247706422,0.8808290155440415,3.51,3.29,6.67,8.96551724137931,7.758620689655173,0.0,3.967413007405742,8.604451178313303,10.0,0.0,0.0,0.0,0.0,60.0625,80.38049940546966,60.196195005945306,74.03658007997718
426,7.5,4.415584415584416,7.2926829268292686,2.585551330798479,5.619834710743802,5.375494071146245,0.8726003490401396,0.900900900900901,4.725274725274725,3.256880733944954,2.66839378238342,4.74,5.460000000000001,6.86,9.655172413793103,8.448275862068966,10.0,1.5065212909662062,8.078623606305268,0.0,0.0,10.0,0.0,0.0,56.25,93.22235434007133,71.37336504161713,65.26415937235272
427,6.25,3.149350649350649,7.353658536585366,0.41825095057034223,3.057851239669422,2.450592885375494,1.029668411867365,1.0810810810810811,0.5494505494505495,2.0183486238532113,1.8393782383419688,4.0600000000000005,5.48,8.100000000000001,9.080459770114942,6.8965517241379315,10.0,2.8318070614761606,7.455996150026973,10.0,0.0,0.0,0.0,0.0,39.0625,82.4547496366759,47.562425683709876,55.59187858921704
